id,domain,capability,requirement,priority,phase,status,mapping,sources
CAP-146,"Settings, Accessibility & Devices",Offline drafts,Allow local study notes and queued uploads without permitting offline competitive moves.,P2,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S35
CAP-147,"Trust, Safety & Fair Play",Fair Play Lock,"Disable engine, coach, recommendations and branch explanations for ongoing human games.",P0,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S30,S31,S37"
CAP-148,"Trust, Safety & Fair Play",Game-context policy engine,"Determine allowed tools from game type, status, rating and opponent class.",P0,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S30,S31"
CAP-149,"Trust, Safety & Fair Play",Report workflow,"Report cheating, abuse or illegal content with category, evidence and block option.",P0,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S31,S32"
CAP-150,"Trust, Safety & Fair Play",Block graph enforcement,"Apply blocks to messaging, challenges, matchmaking, tournaments and content.",P0,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S32
CAP-151,"Trust, Safety & Fair Play",Safe mode,"Disable messages, chats and comments while preserving play and learning.",P1,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S32
CAP-152,"Trust, Safety & Fair Play",Child safety controls,"Gate social access, parental consent and discovery based on age and jurisdiction.",P0,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S32
CAP-153,"Trust, Safety & Fair Play",Moderation console,"Queue reports, preserve evidence, document actions and enforce least privilege.",P1,Operations,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S31
CAP-154,"Trust, Safety & Fair Play",Fair-play case handling,"Separate automated signals, human review, appeals and rating restoration.",P1,Operations,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S31
CAP-155,"Trust, Safety & Fair Play",Prompt-injection boundary,"Treat imported PGN, comments, chat and community content as untrusted data.",P0,Security,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-156,"Trust, Safety & Fair Play",Anti-harassment controls,"Rate-limit invitations and messages, detect spam patterns and allow quiet defaults.",P1,Trust,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S32
CAP-157,"Trust, Safety & Fair Play",Audit trail,"Record sensitive admin, entitlement, moderation and analysis-policy decisions.",P0,Security,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S31
CAP-158,"Membership, Commerce & Entitlements",Free core access,Keep unlimited basic human chess while limiting selected analysis and learning extras.,P0,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-159,"Membership, Commerce & Entitlements",Tiered entitlement service,"Resolve Gold, Platinum, Diamond and promotional entitlements server-side.",P1,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-160,"Membership, Commerce & Entitlements",Usage meters,"Track review, coach, puzzle and cloud-analysis limits with reset and grace rules.",P1,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S33,S07,S10"
CAP-161,"Membership, Commerce & Entitlements",Plan comparison,"Compare tiers by benefit, limit, renewal period and platform-specific billing.",P1,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-162,"Membership, Commerce & Entitlements",Trial lifecycle,"Support eligibility, reminders, conversion, cancellation and rollback.",P2,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-163,"Membership, Commerce & Entitlements",Upgrade proration,Calculate unused value or extended time according to payment channel.,P2,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-164,"Membership, Commerce & Entitlements",Family plan,"Support one payer, up to five invited members and independent accounts.",P2,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S34
CAP-165,"Membership, Commerce & Entitlements",Student verification,Apply country-specific discounts with eligibility and renewal checks.,P3,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-166,"Membership, Commerce & Entitlements",Gift membership,"Schedule delivery, recipient resolution and redemption with fraud controls.",P3,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-167,"Membership, Commerce & Entitlements",Billing and receipts,"Expose invoices, payment status, renewal date and support-safe identifiers.",P1,Commerce,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S33
CAP-168,"Platform, Data & Operations",Authoritative chess rules service,"Validate legal moves, draw state, repetition and game termination server-side.",P0,Foundation,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-169,"Platform, Data & Operations",Real-time game service,"Maintain rooms, clocks, move ordering, reconnection and event fan-out.",P0,Scale,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S19
CAP-170,"Platform, Data & Operations",Analysis job service,"Run bounded engine work asynchronously with cancellation, deduplication and versioning.",P0,Analysis,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S07,S37"
CAP-171,"Platform, Data & Operations",Coach evidence pipeline,"Generate explanations only from legal state, engine output and deterministic facts.",P0,Coach,Prototype,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S37
CAP-172,"Platform, Data & Operations",Content management,"Version lessons, puzzles, articles, translations, prerequisites and publication state.",P1,Operations,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S10,S12"
CAP-173,"Platform, Data & Operations",Search platform,"Index players, games, studies, clubs, events and content with permission filters.",P1,Scale,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.","S08,S20,S27"
CAP-174,"Platform, Data & Operations",Object and media storage,"Store avatars, diagrams, exports and audio with scanning and lifecycle rules.",P1,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
CAP-175,"Platform, Data & Operations",Public API,Expose documented read-only public data with rate limits and privacy exclusions.,P2,Platform,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S02
CAP-176,"Platform, Data & Operations",Webhooks and integrations,"Publish approved game, study and event updates with signed delivery.",P3,Expansion,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S02
CAP-177,"Platform, Data & Operations",Experimentation system,Assign controlled UX and learning experiments with consent and guardrails.,P2,Growth,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S24
CAP-178,"Platform, Data & Operations",Observability,"Trace game moves, websocket health, engine jobs, coach errors and entitlement checks.",P0,Operations,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S38
CAP-179,"Platform, Data & Operations",Backup and recovery,"Back up accounts, games, studies and content with tested restoration targets.",P0,Operations,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S38
CAP-180,"Platform, Data & Operations",Data export and deletion,"Support privacy access, portability, retention and deletion workflows.",P0,Privacy,Mapped,"Reference capability mapped; ChessLab implementation must use original UX, copy and assets.",S29
