map_id,domain,reference_capability,public_evidence_ids,public_evidence_titles,chesslab_requirement,functional_requirement_id,acceptance,representative_screen_ids,priority,phase,prototype_status,clean_room_boundary
MAP-054,Game Review & Analysis,Multi-line engine analysis,"S06,S07","How do I use Game Analysis?,What is Cloud Analysis and how do I use it?","Show bounded principal variations, depth, engine identity and score perspective.",FR-054,"Given an eligible user and valid starting state, when the ""Multi-line engine analysis"" workflow is exercised, ChessLab shall show bounded principal variations, depth, engine identity and score perspective; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-055,Game Review & Analysis,Charts,S06,How do I use Game Analysis?,"Plot score, time, best-move difference and learning themes against move index.",FR-055,"Given an eligible user and valid starting state, when the ""Charts"" workflow is exercised, ChessLab shall plot score, time, best-move difference and learning themes against move index; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P1,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-056,Game Review & Analysis,Annotations,"S06,S21","How do I use Game Analysis?,How do I get a PGN of my game?","Attach comments, arrows, square highlights, symbols and variation lines to nodes.",FR-056,"Given an eligible user and valid starting state, when the ""Annotations"" workflow is exercised, ChessLab shall attach comments, arrows, square highlights, symbols and variation lines to nodes; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-057,Game Review & Analysis,Cloud analysis tier,S07,What is Cloud Analysis and how do I use it?,"Queue deeper server-side analysis with quotas, cancellation and cost controls.",FR-057,"Given an eligible user and valid starting state, when the ""Cloud analysis tier"" workflow is exercised, ChessLab shall queue deeper server-side analysis with quotas, cancellation and cost controls; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-050,SCR-051,SCR-052,SCR-053",P1,Scale,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-058,Game Review & Analysis,Import PGN and FEN,S21,How do I get a PGN of my game?,"Validate untrusted input, preserve the current study on failure and record provenance.",FR-058,"Given an eligible user and valid starting state, when the ""Import PGN and FEN"" workflow is exercised, ChessLab shall validate untrusted input, preserve the current study on failure and record provenance; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; malformed or oversized input is rejected without replacing the current game or study, and accepted input retains provenance.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-059,Game Review & Analysis,Export annotated study,S21,How do I get a PGN of my game?,"Export PGN or native study with comments, branches, timestamps and engine metadata.",FR-059,"Given an eligible user and valid starting state, when the ""Export annotated study"" workflow is exercised, ChessLab shall export PGN or native study with comments, branches, timestamps and engine metadata; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; private or revoked content is never exposed and the exported representation round-trips supported data.","SCR-050,SCR-051,SCR-052,SCR-053",P0,Analysis,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-060,Game Review & Analysis,Continue from position,S06,How do I use Game Analysis?,Launch legal practice or bot play from any completed-game or study node.,FR-060,"Given an eligible user and valid starting state, when the ""Continue from position"" workflow is exercised, ChessLab shall launch legal practice or bot play from any completed-game or study node; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-050,SCR-051,SCR-052,SCR-053",P1,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-061,Branch-Native Conversational Tutor,History-bearing node model,S37,ChessLab Product Context,"Store board state plus rule-relevant history, not FEN alone.",FR-061,"Given an eligible user and valid starting state, when the ""History-bearing node model"" workflow is exercised, ChessLab shall store board state plus rule-relevant history, not FEN alone; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-065,SCR-066,SCR-067,SCR-068",P0,Differentiator,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-062,Branch-Native Conversational Tutor,Nested branch tree,S37,ChessLab Product Context,Create alternatives inside alternatives without altering the actual game line.,FR-062,"Given an eligible user and valid starting state, when the ""Nested branch tree"" workflow is exercised, ChessLab shall create alternatives inside alternatives without altering the actual game line; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P0,Differentiator,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-063,Branch-Native Conversational Tutor,Stable return anchors,S37,ChessLab Product Context,Return from exploration to the exact original node and preserve every sibling branch.,FR-063,"Given an eligible user and valid starting state, when the ""Stable return anchors"" workflow is exercised, ChessLab shall return from exploration to the exact original node and preserve every sibling branch; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P0,Differentiator,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-064,Branch-Native Conversational Tutor,Node-attached questions,S37,ChessLab Product Context,"Bind each learner question and answer to a position, branch and evidence version.",FR-064,"Given an eligible user and valid starting state, when the ""Node-attached questions"" workflow is exercised, ChessLab shall bind each learner question and answer to a position, branch and evidence version; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P0,Differentiator,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-065,Branch-Native Conversational Tutor,"Ask why, what-if and compare",S37,ChessLab Product Context,"Support causal questions, alternative replies and side-by-side branch comparison.",FR-065,"Given an eligible user and valid starting state, when the ""Ask why, what-if and compare"" workflow is exercised, ChessLab shall support causal questions, alternative replies and side-by-side branch comparison; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P0,Differentiator,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-066,Branch-Native Conversational Tutor,Evidence panel,S37,ChessLab Product Context,"Separate legal facts, engine estimates, demonstrated lines and uncertain explanations.",FR-066,"Given an eligible user and valid starting state, when the ""Evidence panel"" workflow is exercised, ChessLab shall separate legal facts, engine estimates, demonstrated lines and uncertain explanations; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P0,Differentiator,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-067,Branch-Native Conversational Tutor,Board-text agreement,S37,ChessLab Product Context,"Guarantee that arrows, highlighted pieces, material counts and prose reference one node.",FR-067,"Given an eligible user and valid starting state, when the ""Board-text agreement"" workflow is exercised, ChessLab shall guarantee that arrows, highlighted pieces, material counts and prose reference one node; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P0,Differentiator,Prototype,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-068,Branch-Native Conversational Tutor,Misunderstanding model,S37,ChessLab Product Context,"Capture the learner prediction, expose the failing assumption and schedule a related retry.",FR-068,"Given an eligible user and valid starting state, when the ""Misunderstanding model"" workflow is exercised, ChessLab shall capture the learner prediction, expose the failing assumption and schedule a related retry; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P1,Differentiator,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-069,Branch-Native Conversational Tutor,Teach-back check,S37,ChessLab Product Context,Ask the learner to explain the idea before revealing a polished summary.,FR-069,"Given an eligible user and valid starting state, when the ""Teach-back check"" workflow is exercised, ChessLab shall ask the learner to explain the idea before revealing a polished summary; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-070,Branch-Native Conversational Tutor,Spaced branch retry,S37,ChessLab Product Context,Revisit prior misunderstandings using transformed but related positions.,FR-070,"Given an eligible user and valid starting state, when the ""Spaced branch retry"" workflow is exercised, ChessLab shall revisit prior misunderstandings using transformed but related positions; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P2,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-071,Branch-Native Conversational Tutor,Share and fork study,"S08,S37","How do I use Game Collections?,ChessLab Product Context",Share a view-only or editable branch workspace with provenance and permissions.,FR-071,"Given an eligible user and valid starting state, when the ""Share and fork study"" workflow is exercised, ChessLab shall share a view-only or editable branch workspace with provenance and permissions; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; private or revoked content is never exposed and the exported representation round-trips supported data.","SCR-065,SCR-066,SCR-067,SCR-068",P1,Collaboration,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-072,Branch-Native Conversational Tutor,Creator workspace,S37,ChessLab Product Context,"Let coaches package branches, questions and retries into reusable studies.",FR-072,"Given an eligible user and valid starting state, when the ""Creator workspace"" workflow is exercised, ChessLab shall let coaches package branches, questions and retries into reusable studies; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-065,SCR-066,SCR-067,SCR-068",P2,Collaboration,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-073,Opening Explorer & Collections,Master opening database,S09,What is the Game Explorer?,"Show move frequency, outcomes, opening names and notable games by position.",FR-073,"Given an eligible user and valid starting state, when the ""Master opening database"" workflow is exercised, ChessLab shall show move frequency, outcomes, opening names and notable games by position; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution.","SCR-079,SCR-080,SCR-081,SCR-082",P1,Analysis,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-074,Opening Explorer & Collections,Personal opening explorer,"S09,S23","What is the Game Explorer?,How can I see my opening stats?","Filter the user game corpus by color, time class, date and continuation.",FR-074,"Given an eligible user and valid starting state, when the ""Personal opening explorer"" workflow is exercised, ChessLab shall filter the user game corpus by color, time class, date and continuation; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; empty, loading, no-result, permission-filtered and paginated states are covered.","SCR-079,SCR-080,SCR-081,SCR-082",P1,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-075,Opening Explorer & Collections,Opponent research boundary,"S30,S31","What counts as cheating on Chess.com?,What do I need to know about Fair Play?",Allow completed public-game study while preventing live assistance.,FR-075,"Given an eligible user and valid starting state, when the ""Opponent research boundary"" workflow is exercised, ChessLab shall allow completed public-game study while preventing live assistance; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; empty, loading, no-result, permission-filtered and paginated states are covered.","SCR-079,SCR-080,SCR-081,SCR-082",P0,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-076,Opening Explorer & Collections,Collection library,S08,How do I use Game Collections?,"Organize games and studies into private, public or shared collections.",FR-076,"Given an eligible user and valid starting state, when the ""Collection library"" workflow is exercised, ChessLab shall organize games and studies into private, public or shared collections; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-079,SCR-080,SCR-081,SCR-082",P1,Collaboration,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-077,Opening Explorer & Collections,Collection roles,S08,How do I use Game Collections?,"Support owner, editor and viewer permissions with audit history.",FR-077,"Given an eligible user and valid starting state, when the ""Collection roles"" workflow is exercised, ChessLab shall support owner, editor and viewer permissions with audit history; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-079,SCR-080,SCR-081,SCR-082",P1,Collaboration,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-078,Opening Explorer & Collections,Community collections,S08,How do I use Game Collections?,"Discover, preview, bookmark and fork public study collections.",FR-078,"Given an eligible user and valid starting state, when the ""Community collections"" workflow is exercised, ChessLab shall discover, preview, bookmark and fork public study collections; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-079,SCR-080,SCR-081,SCR-082",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-079,Opening Explorer & Collections,Search and bulk actions,"S08,S20","How do I use Game Collections?,How do I view my own games?","Search games and studies, then move, tag, export or delete selected items.",FR-079,"Given an eligible user and valid starting state, when the ""Search and bulk actions"" workflow is exercised, ChessLab shall search games and studies, then move, tag, export or delete selected items; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; empty, loading, no-result, permission-filtered and paginated states are covered.","SCR-079,SCR-080,SCR-081,SCR-082",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-080,Puzzles & Tactics,Rated puzzle queue,S10,How do Puzzles work on Chess.com?,Serve rating-appropriate legal puzzles and update puzzle rating after full solution.,FR-080,"Given an eligible user and valid starting state, when the ""Rated puzzle queue"" workflow is exercised, ChessLab shall serve rating-appropriate legal puzzles and update puzzle rating after full solution; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-089,SCR-090,SCR-091,SCR-092",P0,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-081,Puzzles & Tactics,Progressive puzzle feedback,S10,How do Puzzles work on Chess.com?,"Show correctness, opponent replies, explanation and retry without leaking early.",FR-081,"Given an eligible user and valid starting state, when the ""Progressive puzzle feedback"" workflow is exercised, ChessLab shall show correctness, opponent replies, explanation and retry without leaking early; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-089,SCR-090,SCR-091,SCR-092",P0,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-082,Puzzles & Tactics,Puzzle Rush,S10,How do Puzzles work on Chess.com?,Run timed survival and fixed-duration modes with mistake limits and summaries.,FR-082,"Given an eligible user and valid starting state, when the ""Puzzle Rush"" workflow is exercised, ChessLab shall run timed survival and fixed-duration modes with mistake limits and summaries; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-089,SCR-090,SCR-091,SCR-092",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-083,Puzzles & Tactics,Puzzle Battle,S11,What is Puzzle Battle on Chess.com?,"Match similar puzzle-battle ratings and synchronize score, timer and error state.",FR-083,"Given an eligible user and valid starting state, when the ""Puzzle Battle"" workflow is exercised, ChessLab shall match similar puzzle-battle ratings and synchronize score, timer and error state; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-089,SCR-090,SCR-091,SCR-092",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-084,Puzzles & Tactics,Daily puzzle,S10,How do Puzzles work on Chess.com?,"Publish one daily puzzle with local-day streak, discussion and share state.",FR-084,"Given an eligible user and valid starting state, when the ""Daily puzzle"" workflow is exercised, ChessLab shall publish one daily puzzle with local-day streak, discussion and share state; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-089,SCR-090,SCR-091,SCR-092",P1,Growth,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-085,Puzzles & Tactics,Custom puzzle filters,S10,How do Puzzles work on Chess.com?,"Choose themes, rating band, failed-only and unrated learning mode.",FR-085,"Given an eligible user and valid starting state, when the ""Custom puzzle filters"" workflow is exercised, ChessLab shall choose themes, rating band, failed-only and unrated learning mode; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-089,SCR-090,SCR-091,SCR-092",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-086,Puzzles & Tactics,Puzzle history,S10,How do Puzzles work on Chess.com?,"Review attempts, themes, accuracy, time and failed positions.",FR-086,"Given an eligible user and valid starting state, when the ""Puzzle history"" workflow is exercised, ChessLab shall review attempts, themes, accuracy, time and failed positions; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-089,SCR-090,SCR-091,SCR-092",P1,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-087,Puzzles & Tactics,Hearts or recovery model,S10,How do Puzzles work on Chess.com?,Allow limited errors in beginner-friendly modes without corrupting rated results.,FR-087,"Given an eligible user and valid starting state, when the ""Hearts or recovery model"" workflow is exercised, ChessLab shall allow limited errors in beginner-friendly modes without corrupting rated results; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-089,SCR-090,SCR-091,SCR-092",P2,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-088,Puzzles & Tactics,Puzzle taxonomy versioning,S10,How do Puzzles work on Chess.com?,Version themes so classification changes do not rewrite historical analytics silently.,FR-088,"Given an eligible user and valid starting state, when the ""Puzzle taxonomy versioning"" workflow is exercised, ChessLab shall version themes so classification changes do not rewrite historical analytics silently; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-089,SCR-090,SCR-091,SCR-092",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-089,"Lessons, Practice & Curriculum",Structured learning path,S12,How do Lessons work on Chess.com?,"Sequence concepts by prerequisites, skill band and mastery checks.",FR-089,"Given an eligible user and valid starting state, when the ""Structured learning path"" workflow is exercised, ChessLab shall sequence concepts by prerequisites, skill band and mastery checks; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-090,"Lessons, Practice & Curriculum",Lesson library,S12,How do Lessons work on Chess.com?,"Browse and filter courses by level, topic, format and instructor.",FR-090,"Given an eligible user and valid starting state, when the ""Lesson library"" workflow is exercised, ChessLab shall browse and filter courses by level, topic, format and instructor; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-091,"Lessons, Practice & Curriculum",Interactive lesson player,S12,How do Lessons work on Chess.com?,"Combine explanation, board challenge, feedback, progress and resume.",FR-091,"Given an eligible user and valid starting state, when the ""Interactive lesson player"" workflow is exercised, ChessLab shall combine explanation, board challenge, feedback, progress and resume; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P0,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-092,"Lessons, Practice & Curriculum",Opening practice,S13,What is Practice on Chess.com?,"Select an opening and color, then practice required lines against a compliant bot.",FR-092,"Given an eligible user and valid starting state, when the ""Opening practice"" workflow is exercised, ChessLab shall select an opening and color, then practice required lines against a compliant bot; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-093,"Lessons, Practice & Curriculum",Master-game practice,S13,What is Practice on Chess.com?,Enter key historical positions and compare learner choices with source games.,FR-093,"Given an eligible user and valid starting state, when the ""Master-game practice"" workflow is exercised, ChessLab shall enter key historical positions and compare learner choices with source games; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P2,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-094,"Lessons, Practice & Curriculum",Thematic drills,S13,What is Practice on Chess.com?,"Practice pawn structures, tactical motifs and strategic patterns repeatedly.",FR-094,"Given an eligible user and valid starting state, when the ""Thematic drills"" workflow is exercised, ChessLab shall practice pawn structures, tactical motifs and strategic patterns repeatedly; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-095,"Lessons, Practice & Curriculum",Custom-position training,S13,What is Practice on Chess.com?,Paste FEN or choose a saved node and define the training objective.,FR-095,"Given an eligible user and valid starting state, when the ""Custom-position training"" workflow is exercised, ChessLab shall paste FEN or choose a saved node and define the training objective; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-096,"Lessons, Practice & Curriculum",Endgame curriculum,S14,How do I practice Endgames?,"Offer category, subtheme, challenge, practice and learn modes.",FR-096,"Given an eligible user and valid starting state, when the ""Endgame curriculum"" workflow is exercised, ChessLab shall offer category, subtheme, challenge, practice and learn modes; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-097,"Lessons, Practice & Curriculum",Board vision trainer,S14,How do I practice Endgames?,Train coordinates and move visualization with timed scoring and orientation options.,FR-097,"Given an eligible user and valid starting state, when the ""Board vision trainer"" workflow is exercised, ChessLab shall train coordinates and move visualization with timed scoring and orientation options; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P2,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-098,"Lessons, Practice & Curriculum",Recommendation engine,"S05,S24","How does Game Review work?,What is Insights on Chess.com?","Recommend the next lesson or drill from demonstrated mistakes, not generic level alone.",FR-098,"Given an eligible user and valid starting state, when the ""Recommendation engine"" workflow is exercised, ChessLab shall recommend the next lesson or drill from demonstrated mistakes, not generic level alone; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P1,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-099,"Lessons, Practice & Curriculum",Mastery and retry policy,S37,ChessLab Product Context,Require successful transfer or teach-back before marking a concept mastered.,FR-099,"Given an eligible user and valid starting state, when the ""Mastery and retry policy"" workflow is exercised, ChessLab shall require successful transfer or teach-back before marking a concept mastered; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","SCR-100,SCR-101,SCR-102,SCR-103",P1,Learning,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-100,"Profile, Stats & Progress",Public profile,S29,How do I manage my settings?,"Show identity, optional details, ratings, awards, clubs and recent public activity.",FR-100,"Given an eligible user and valid starting state, when the ""Public profile"" workflow is exercised, ChessLab shall show identity, optional details, ratings, awards, clubs and recent public activity; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-114,SCR-115,SCR-116,SCR-117",P1,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-101,"Profile, Stats & Progress",Rating dashboards,S20,How do I view my own games?,Track separate ratings and histories by time control and game type.,FR-101,"Given an eligible user and valid starting state, when the ""Rating dashboards"" workflow is exercised, ChessLab shall track separate ratings and histories by time control and game type; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-114,SCR-115,SCR-116,SCR-117",P0,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-102,"Profile, Stats & Progress",Opening stats,S23,How can I see my opening stats?,"Show frequency, results and continuation trees with filters and mini-board.",FR-102,"Given an eligible user and valid starting state, when the ""Opening stats"" workflow is exercised, ChessLab shall show frequency, results and continuation trees with filters and mini-board; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-114,SCR-115,SCR-116,SCR-117",P1,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-103,"Profile, Stats & Progress",Advanced chess stats,S25,How do I use Advanced Stats?,"Measure opening, tactics, strategy and endgame strengths with explainable methodology.",FR-103,"Given an eligible user and valid starting state, when the ""Advanced chess stats"" workflow is exercised, ChessLab shall measure opening, tactics, strategy and endgame strengths with explainable methodology; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-114,SCR-115,SCR-116,SCR-117",P2,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-104,"Profile, Stats & Progress",Insights workspace,S24,What is Insights on Chess.com?,"Analyze patterns by time class, date range, result, accuracy and activity time.",FR-104,"Given an eligible user and valid starting state, when the ""Insights workspace"" workflow is exercised, ChessLab shall analyze patterns by time class, date range, result, accuracy and activity time; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-114,SCR-115,SCR-116,SCR-117",P2,Insights,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-105,"Profile, Stats & Progress",Achievement system,S10,How do Puzzles work on Chess.com?,Award verifiable milestones and show locked criteria without pay-to-win ratings.,FR-105,"Given an eligible user and valid starting state, when the ""Achievement system"" workflow is exercised, ChessLab shall award verifiable milestones and show locked criteria without pay-to-win ratings; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-114,SCR-115,SCR-116,SCR-117",P2,Growth,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
