id,type,domain,title,statement,priority,phase,acceptance,sources
FR-078,Functional,Opening Explorer & Collections,Community collections,"Discover, preview, bookmark and fork public study collections.",P2,Community,"Given an eligible user and valid starting state, when the ""Community collections"" workflow is exercised, ChessLab shall discover, preview, bookmark and fork public study collections; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.",S08
FR-079,Functional,Opening Explorer & Collections,Search and bulk actions,"Search games and studies, then move, tag, export or delete selected items.",P1,Platform,"Given an eligible user and valid starting state, when the ""Search and bulk actions"" workflow is exercised, ChessLab shall search games and studies, then move, tag, export or delete selected items; verify that the displayed board, move history, score perspective, evidence version and explanation refer to the same immutable node; an ongoing human game is rejected before engine or coach execution; empty, loading, no-result, permission-filtered and paginated states are covered.","S08,S20"
FR-080,Functional,Puzzles & Tactics,Rated puzzle queue,Serve rating-appropriate legal puzzles and update puzzle rating after full solution.,P0,Learning,"Given an eligible user and valid starting state, when the ""Rated puzzle queue"" workflow is exercised, ChessLab shall serve rating-appropriate legal puzzles and update puzzle rating after full solution; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S10
FR-081,Functional,Puzzles & Tactics,Progressive puzzle feedback,"Show correctness, opponent replies, explanation and retry without leaking early.",P0,Learning,"Given an eligible user and valid starting state, when the ""Progressive puzzle feedback"" workflow is exercised, ChessLab shall show correctness, opponent replies, explanation and retry without leaking early; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S10
FR-082,Functional,Puzzles & Tactics,Puzzle Rush,Run timed survival and fixed-duration modes with mistake limits and summaries.,P1,Learning,"Given an eligible user and valid starting state, when the ""Puzzle Rush"" workflow is exercised, ChessLab shall run timed survival and fixed-duration modes with mistake limits and summaries; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S10
FR-083,Functional,Puzzles & Tactics,Puzzle Battle,"Match similar puzzle-battle ratings and synchronize score, timer and error state.",P2,Community,"Given an eligible user and valid starting state, when the ""Puzzle Battle"" workflow is exercised, ChessLab shall match similar puzzle-battle ratings and synchronize score, timer and error state; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S11
FR-084,Functional,Puzzles & Tactics,Daily puzzle,"Publish one daily puzzle with local-day streak, discussion and share state.",P1,Growth,"Given an eligible user and valid starting state, when the ""Daily puzzle"" workflow is exercised, ChessLab shall publish one daily puzzle with local-day streak, discussion and share state; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S10
FR-085,Functional,Puzzles & Tactics,Custom puzzle filters,"Choose themes, rating band, failed-only and unrated learning mode.",P1,Learning,"Given an eligible user and valid starting state, when the ""Custom puzzle filters"" workflow is exercised, ChessLab shall choose themes, rating band, failed-only and unrated learning mode; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S10
FR-086,Functional,Puzzles & Tactics,Puzzle history,"Review attempts, themes, accuracy, time and failed positions.",P1,Insights,"Given an eligible user and valid starting state, when the ""Puzzle history"" workflow is exercised, ChessLab shall review attempts, themes, accuracy, time and failed positions; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.",S10
FR-087,Functional,Puzzles & Tactics,Hearts or recovery model,Allow limited errors in beginner-friendly modes without corrupting rated results.,P2,Learning,"Given an eligible user and valid starting state, when the ""Hearts or recovery model"" workflow is exercised, ChessLab shall allow limited errors in beginner-friendly modes without corrupting rated results; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S10
FR-088,Functional,Puzzles & Tactics,Puzzle taxonomy versioning,Version themes so classification changes do not rewrite historical analytics silently.,P1,Platform,"Given an eligible user and valid starting state, when the ""Puzzle taxonomy versioning"" workflow is exercised, ChessLab shall version themes so classification changes do not rewrite historical analytics silently; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S10
FR-089,Functional,"Lessons, Practice & Curriculum",Structured learning path,"Sequence concepts by prerequisites, skill band and mastery checks.",P1,Learning,"Given an eligible user and valid starting state, when the ""Structured learning path"" workflow is exercised, ChessLab shall sequence concepts by prerequisites, skill band and mastery checks; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S12
FR-090,Functional,"Lessons, Practice & Curriculum",Lesson library,"Browse and filter courses by level, topic, format and instructor.",P1,Learning,"Given an eligible user and valid starting state, when the ""Lesson library"" workflow is exercised, ChessLab shall browse and filter courses by level, topic, format and instructor; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S12
FR-091,Functional,"Lessons, Practice & Curriculum",Interactive lesson player,"Combine explanation, board challenge, feedback, progress and resume.",P0,Learning,"Given an eligible user and valid starting state, when the ""Interactive lesson player"" workflow is exercised, ChessLab shall combine explanation, board challenge, feedback, progress and resume; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S12
FR-092,Functional,"Lessons, Practice & Curriculum",Opening practice,"Select an opening and color, then practice required lines against a compliant bot.",P1,Learning,"Given an eligible user and valid starting state, when the ""Opening practice"" workflow is exercised, ChessLab shall select an opening and color, then practice required lines against a compliant bot; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S13
FR-093,Functional,"Lessons, Practice & Curriculum",Master-game practice,Enter key historical positions and compare learner choices with source games.,P2,Learning,"Given an eligible user and valid starting state, when the ""Master-game practice"" workflow is exercised, ChessLab shall enter key historical positions and compare learner choices with source games; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S13
FR-094,Functional,"Lessons, Practice & Curriculum",Thematic drills,"Practice pawn structures, tactical motifs and strategic patterns repeatedly.",P1,Learning,"Given an eligible user and valid starting state, when the ""Thematic drills"" workflow is exercised, ChessLab shall practice pawn structures, tactical motifs and strategic patterns repeatedly; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S13
FR-095,Functional,"Lessons, Practice & Curriculum",Custom-position training,Paste FEN or choose a saved node and define the training objective.,P1,Learning,"Given an eligible user and valid starting state, when the ""Custom-position training"" workflow is exercised, ChessLab shall paste FEN or choose a saved node and define the training objective; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S13
FR-096,Functional,"Lessons, Practice & Curriculum",Endgame curriculum,"Offer category, subtheme, challenge, practice and learn modes.",P1,Learning,"Given an eligible user and valid starting state, when the ""Endgame curriculum"" workflow is exercised, ChessLab shall offer category, subtheme, challenge, practice and learn modes; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S14
FR-097,Functional,"Lessons, Practice & Curriculum",Board vision trainer,Train coordinates and move visualization with timed scoring and orientation options.,P2,Learning,"Given an eligible user and valid starting state, when the ""Board vision trainer"" workflow is exercised, ChessLab shall train coordinates and move visualization with timed scoring and orientation options; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S14
FR-098,Functional,"Lessons, Practice & Curriculum",Recommendation engine,"Recommend the next lesson or drill from demonstrated mistakes, not generic level alone.",P1,Insights,"Given an eligible user and valid starting state, when the ""Recommendation engine"" workflow is exercised, ChessLab shall recommend the next lesson or drill from demonstrated mistakes, not generic level alone; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.","S05,S24"
FR-099,Functional,"Lessons, Practice & Curriculum",Mastery and retry policy,Require successful transfer or teach-back before marking a concept mastered.,P1,Learning,"Given an eligible user and valid starting state, when the ""Mastery and retry policy"" workflow is exercised, ChessLab shall require successful transfer or teach-back before marking a concept mastered; verify that wrong, partial, retry and completion paths award progress only under the declared mastery rule.",S37
FR-100,Functional,"Profile, Stats & Progress",Public profile,"Show identity, optional details, ratings, awards, clubs and recent public activity.",P1,Community,"Given an eligible user and valid starting state, when the ""Public profile"" workflow is exercised, ChessLab shall show identity, optional details, ratings, awards, clubs and recent public activity; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S29
FR-101,Functional,"Profile, Stats & Progress",Rating dashboards,Track separate ratings and histories by time control and game type.,P0,Insights,"Given an eligible user and valid starting state, when the ""Rating dashboards"" workflow is exercised, ChessLab shall track separate ratings and histories by time control and game type; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S20
FR-102,Functional,"Profile, Stats & Progress",Opening stats,"Show frequency, results and continuation trees with filters and mini-board.",P1,Insights,"Given an eligible user and valid starting state, when the ""Opening stats"" workflow is exercised, ChessLab shall show frequency, results and continuation trees with filters and mini-board; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S23
FR-103,Functional,"Profile, Stats & Progress",Advanced chess stats,"Measure opening, tactics, strategy and endgame strengths with explainable methodology.",P2,Insights,"Given an eligible user and valid starting state, when the ""Advanced chess stats"" workflow is exercised, ChessLab shall measure opening, tactics, strategy and endgame strengths with explainable methodology; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S25
FR-104,Functional,"Profile, Stats & Progress",Insights workspace,"Analyze patterns by time class, date range, result, accuracy and activity time.",P2,Insights,"Given an eligible user and valid starting state, when the ""Insights workspace"" workflow is exercised, ChessLab shall analyze patterns by time class, date range, result, accuracy and activity time; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S24
FR-105,Functional,"Profile, Stats & Progress",Achievement system,Award verifiable milestones and show locked criteria without pay-to-win ratings.,P2,Growth,"Given an eligible user and valid starting state, when the ""Achievement system"" workflow is exercised, ChessLab shall award verifiable milestones and show locked criteria without pay-to-win ratings; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S10
FR-106,Functional,"Profile, Stats & Progress",Game archive,"Filter by game type, date, opponent, result and opening with stable pagination.",P0,Platform,"Given an eligible user and valid starting state, when the ""Game archive"" workflow is exercised, ChessLab shall filter by game type, date, opponent, result and opening with stable pagination; verify that the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.",S20
FR-107,Functional,"Profile, Stats & Progress",Bot and coach privacy,Keep guided-game history private by default and allow deletion.,P0,Privacy,"Given an eligible user and valid starting state, when the ""Bot and coach privacy"" workflow is exercised, ChessLab shall keep guided-game history private by default and allow deletion; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","S03,S04"
FR-108,Functional,"Watch, Events & Content",Live chess channel,Provide an integrated current broadcast with schedule and chat policy.,P2,Community,"Given an eligible user and valid starting state, when the ""Live chess channel"" workflow is exercised, ChessLab shall provide an integrated current broadcast with schedule and chat policy; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S26
FR-109,Functional,"Watch, Events & Content",Event directory,"List ongoing and upcoming tournaments, leagues and broadcasts.",P2,Community,"Given an eligible user and valid starting state, when the ""Event directory"" workflow is exercised, ChessLab shall list ongoing and upcoming tournaments, leagues and broadcasts; verify that empty, loading, no-result, permission-filtered and paginated states are covered.",S26
FR-110,Functional,"Watch, Events & Content",Event broadcast board,"Synchronize board, clocks, standings, commentary, engine and video.",P2,Community,"Given an eligible user and valid starting state, when the ""Event broadcast board"" workflow is exercised, ChessLab shall synchronize board, clocks, standings, commentary, engine and video; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S26
FR-111,Functional,"Watch, Events & Content",Streamer directory,List currently live creators and hand off to approved external platforms.,P2,Community,"Given an eligible user and valid starting state, when the ""Streamer directory"" workflow is exercised, ChessLab shall list currently live creators and hand off to approved external platforms; verify that empty, loading, no-result, permission-filtered and paginated states are covered.",S26
FR-112,Functional,"Watch, Events & Content",Playing-now spectating,Surface notable live games with delay and fair-play controls.,P2,Community,"Given an eligible user and valid starting state, when the ""Playing-now spectating"" workflow is exercised, ChessLab shall surface notable live games with delay and fair-play controls; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","S26,S31"
FR-113,Functional,"Watch, Events & Content",Editorial hub,"Publish news, recaps, instructional articles and author pages with moderation.",P2,Content,"Given an eligible user and valid starting state, when the ""Editorial hub"" workflow is exercised, ChessLab shall publish news, recaps, instructional articles and author pages with moderation; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.",S26
FR-114,Functional,"Watch, Events & Content",Embeddable public views,"Generate safe embed codes for games, studies and events.",P2,Platform,"Given an eligible user and valid starting state, when the ""Embeddable public views"" workflow is exercised, ChessLab shall generate safe embed codes for games, studies and events; verify that private or revoked content is never exposed and the exported representation round-trips supported data.","S21,S26"
FR-115,Functional,Community & Social,Friends graph,"Send, accept, decline, cancel and limit friend requests.",P1,Community,"Given an eligible user and valid starting state, when the ""Friends graph"" workflow is exercised, ChessLab shall send, accept, decline, cancel and limit friend requests; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S28
FR-116,Functional,Community & Social,Follow graph,Follow creators or players independently of mutual friendship.,P2,Community,"Given an eligible user and valid starting state, when the ""Follow graph"" workflow is exercised, ChessLab shall follow creators or players independently of mutual friendship; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S28
FR-117,Functional,Community & Social,Persistent chat,Keep one-to-one and group chat available across navigation with unread state.,P1,Community,"Given an eligible user and valid starting state, when the ""Persistent chat"" workflow is exercised, ChessLab shall keep one-to-one and group chat available across navigation with unread state; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.",S28
FR-118,Functional,Community & Social,In-game chat controls,"Allow everyone, request-only, friends-only or disabled chat policies.",P0,Trust,"Given an eligible user and valid starting state, when the ""In-game chat controls"" workflow is exercised, ChessLab shall allow everyone, request-only, friends-only or disabled chat policies; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.",S32
FR-119,Functional,Community & Social,Club discovery,"Search and browse clubs by interest, location, activity and language.",P2,Community,"Given an eligible user and valid starting state, when the ""Club discovery"" workflow is exercised, ChessLab shall search and browse clubs by interest, location, activity and language; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; empty, loading, no-result, permission-filtered and paginated states are covered.",S27
FR-120,Functional,Community & Social,Club membership workflow,"Support open, request-to-join and invitation-only membership.",P2,Community,"Given an eligible user and valid starting state, when the ""Club membership workflow"" workflow is exercised, ChessLab shall support open, request-to-join and invitation-only membership; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S27
FR-121,Functional,Community & Social,Club spaces,"Provide notes, forums, chat, matches, vote chess and events.",P2,Community,"Given an eligible user and valid starting state, when the ""Club spaces"" workflow is exercised, ChessLab shall provide notes, forums, chat, matches, vote chess and events; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S27
FR-122,Functional,Community & Social,Club roles and audit,"Model owner, super-admin, admin, coordinator and member permissions.",P2,Trust,"Given an eligible user and valid starting state, when the ""Club roles and audit"" workflow is exercised, ChessLab shall model owner, super-admin, admin, coordinator and member permissions; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S27
FR-123,Functional,Community & Social,Forums and comments,"Thread discussions with edits, reports, moderation and notification controls.",P2,Community,"Given an eligible user and valid starting state, when the ""Forums and comments"" workflow is exercised, ChessLab shall thread discussions with edits, reports, moderation and notification controls; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.","S27,S31"
FR-124,Functional,Community & Social,User blogs,Let members publish moderated long-form posts and follow authors.,P2,Content,"Given an eligible user and valid starting state, when the ""User blogs"" workflow is exercised, ChessLab shall let members publish moderated long-form posts and follow authors; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.",S28
FR-125,Functional,Community & Social,Notifications center,"Aggregate social, game, learning, commerce and system notifications.",P1,Platform,"Given an eligible user and valid starting state, when the ""Notifications center"" workflow is exercised, ChessLab shall aggregate social, game, learning, commerce and system notifications; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.",S29
FR-126,Functional,Tournaments & Variants,Arena tournaments,"Support continuous pairing, streak scoring, countdown and standings.",P2,Community,"Given an eligible user and valid starting state, when the ""Arena tournaments"" workflow is exercised, ChessLab shall support continuous pairing, streak scoring, countdown and standings; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S15
FR-127,Functional,Tournaments & Variants,Swiss tournaments,"Support scheduled rounds, pairings, tie-breaks and result correction workflow.",P2,Community,"Given an eligible user and valid starting state, when the ""Swiss tournaments"" workflow is exercised, ChessLab shall support scheduled rounds, pairings, tie-breaks and result correction workflow; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S15
FR-128,Functional,Tournaments & Variants,Daily tournaments,"Support group stages, simultaneous round-robin games and advancement.",P2,Community,"Given an eligible user and valid starting state, when the ""Daily tournaments"" workflow is exercised, ChessLab shall support group stages, simultaneous round-robin games and advancement; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.",S16
FR-129,Functional,Tournaments & Variants,Tournament creation,"Configure format, time control, visibility, eligibility and participant caps.",P2,Community,"Given an eligible user and valid starting state, when the ""Tournament creation"" workflow is exercised, ChessLab shall configure format, time control, visibility, eligibility and participant caps; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","S15,S16"
FR-130,Functional,Tournaments & Variants,Tournament moderation,"Provide director controls, chat policy, removal, cancellation and audit logs.",P2,Trust,"Given an eligible user and valid starting state, when the ""Tournament moderation"" workflow is exercised, ChessLab shall provide director controls, chat policy, removal, cancellation and audit logs; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","S15,S31"
FR-131,Functional,Tournaments & Variants,Variant lobby,"Browse variants with play, lobby, arenas, watch, leaders and archive tabs.",P3,Expansion,"Given an eligible user and valid starting state, when the ""Variant lobby"" workflow is exercised, ChessLab shall browse variants with play, lobby, arenas, watch, leaders and archive tabs; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect; the extension remains isolated from core play and is disabled until rights and operational readiness are approved.",S18
FR-132,Functional,Tournaments & Variants,Custom variant editor,Compose supported rule modules and validate starting positions.,P3,Expansion,"Given an eligible user and valid starting state, when the ""Custom variant editor"" workflow is exercised, ChessLab shall compose supported rule modules and validate starting positions; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect; the extension remains isolated from core play and is disabled until rights and operational readiness are approved.",S18
FR-133,Functional,Tournaments & Variants,Variant-specific ratings,Keep ratings and archives separate per variant and time class.,P3,Expansion,"Given an eligible user and valid starting state, when the ""Variant-specific ratings"" workflow is exercised, ChessLab shall keep ratings and archives separate per variant and time class; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect; the extension remains isolated from core play and is disabled until rights and operational readiness are approved.",S18
FR-134,Functional,"Settings, Accessibility & Devices",Board and piece themes,"Offer original or licensed themes, backgrounds, coordinates and animation choices.",P1,Polish,"Given an eligible user and valid starting state, when the ""Board and piece themes"" workflow is exercised, ChessLab shall offer original or licensed themes, backgrounds, coordinates and animation choices; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","S29,S02"
FR-135,Functional,"Settings, Accessibility & Devices",Move and sound preferences,"Configure move method, legal markers, premoves, confirmations and sound themes.",P1,Polish,"Given an eligible user and valid starting state, when the ""Move and sound preferences"" workflow is exercised, ChessLab shall configure move method, legal markers, premoves, confirmations and sound themes; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.",S29
FR-136,Functional,"Settings, Accessibility & Devices",Gameplay settings,"Centralize live, daily, bot, coach and puzzle behavior preferences.",P1,Platform,"Given an eligible user and valid starting state, when the ""Gameplay settings"" workflow is exercised, ChessLab shall centralize live, daily, bot, coach and puzzle behavior preferences; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.",S29
FR-137,Functional,"Settings, Accessibility & Devices",Coach settings,"Choose persona, voice, appearance locations, autosave and feedback intensity.",P1,Coach,"Given an eligible user and valid starting state, when the ""Coach settings"" workflow is exercised, ChessLab shall choose persona, voice, appearance locations, autosave and feedback intensity; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.",S04
FR-138,Functional,"Settings, Accessibility & Devices",Notification routing,"Choose in-app, push and email delivery by notification category.",P1,Platform,"Given an eligible user and valid starting state, when the ""Notification routing"" workflow is exercised, ChessLab shall choose in-app, push and email delivery by notification category; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.",S29
FR-139,Functional,"Settings, Accessibility & Devices",Privacy controls,"Control profile fields, friends visibility, challenges and contact permissions.",P0,Privacy,"Given an eligible user and valid starting state, when the ""Privacy controls"" workflow is exercised, ChessLab shall control profile fields, friends visibility, challenges and contact permissions; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","S29,S32"
FR-140,Functional,"Settings, Accessibility & Devices",Localization,"Support interface language, content language, locale, notation and timezone.",P1,Platform,"Given an eligible user and valid starting state, when the ""Localization"" workflow is exercised, ChessLab shall support interface language, content language, locale, notation and timezone; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.",S29
FR-141,Functional,"Settings, Accessibility & Devices",Keyboard operation,"Make all game, review and learning workflows operable without dragging.",P0,Accessibility,"Given an eligible user and valid starting state, when the ""Keyboard operation"" workflow is exercised, ChessLab shall make all game, review and learning workflows operable without dragging; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.",S29
FR-142,Functional,"Settings, Accessibility & Devices",Screen-reader semantics,"Expose board state, move list, clocks, alerts and annotations semantically.",P0,Accessibility,"Given an eligible user and valid starting state, when the ""Screen-reader semantics"" workflow is exercised, ChessLab shall expose board state, move list, clocks, alerts and annotations semantically; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.",S29
FR-143,Functional,"Settings, Accessibility & Devices",Reduced motion and contrast,Respect OS preferences and provide accessible contrast modes.,P0,Accessibility,"Given an eligible user and valid starting state, when the ""Reduced motion and contrast"" workflow is exercised, ChessLab shall respect OS preferences and provide accessible contrast modes; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.",S29
FR-144,Functional,"Settings, Accessibility & Devices",Responsive web,Preserve complete core workflows from 320 px mobile to wide desktop.,P0,Platform,"Given an eligible user and valid starting state, when the ""Responsive web"" workflow is exercised, ChessLab shall preserve complete core workflows from 320 px mobile to wide desktop; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","S35,S36"
FR-145,Functional,"Settings, Accessibility & Devices",Native-app parity matrix,Document every web/mobile parity gap and degrade explicitly.,P1,Platform,"Given an eligible user and valid starting state, when the ""Native-app parity matrix"" workflow is exercised, ChessLab shall document every web/mobile parity gap and degrade explicitly; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","S35,S36"
FR-146,Functional,"Settings, Accessibility & Devices",Offline drafts,Allow local study notes and queued uploads without permitting offline competitive moves.,P2,Platform,"Given an eligible user and valid starting state, when the ""Offline drafts"" workflow is exercised, ChessLab shall allow local study notes and queued uploads without permitting offline competitive moves; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.",S35
FR-147,Functional,"Trust, Safety & Fair Play",Fair Play Lock,"Disable engine, coach, recommendations and branch explanations for ongoing human games.",P0,Trust,"Given an eligible user and valid starting state, when the ""Fair Play Lock"" workflow is exercised, ChessLab shall disable engine, coach, recommendations and branch explanations for ongoing human games; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","S30,S31,S37"
FR-148,Functional,"Trust, Safety & Fair Play",Game-context policy engine,"Determine allowed tools from game type, status, rating and opponent class.",P0,Trust,"Given an eligible user and valid starting state, when the ""Game-context policy engine"" workflow is exercised, ChessLab shall determine allowed tools from game type, status, rating and opponent class; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","S30,S31"
FR-149,Functional,"Trust, Safety & Fair Play",Report workflow,"Report cheating, abuse or illegal content with category, evidence and block option.",P0,Trust,"Given an eligible user and valid starting state, when the ""Report workflow"" workflow is exercised, ChessLab shall report cheating, abuse or illegal content with category, evidence and block option; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","S31,S32"
FR-150,Functional,"Trust, Safety & Fair Play",Block graph enforcement,"Apply blocks to messaging, challenges, matchmaking, tournaments and content.",P0,Trust,"Given an eligible user and valid starting state, when the ""Block graph enforcement"" workflow is exercised, ChessLab shall apply blocks to messaging, challenges, matchmaking, tournaments and content; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S32
FR-151,Functional,"Trust, Safety & Fair Play",Safe mode,"Disable messages, chats and comments while preserving play and learning.",P1,Trust,"Given an eligible user and valid starting state, when the ""Safe mode"" workflow is exercised, ChessLab shall disable messages, chats and comments while preserving play and learning; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S32
FR-152,Functional,"Trust, Safety & Fair Play",Child safety controls,"Gate social access, parental consent and discovery based on age and jurisdiction.",P0,Trust,"Given an eligible user and valid starting state, when the ""Child safety controls"" workflow is exercised, ChessLab shall gate social access, parental consent and discovery based on age and jurisdiction; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S32
FR-153,Functional,"Trust, Safety & Fair Play",Moderation console,"Queue reports, preserve evidence, document actions and enforce least privilege.",P1,Operations,"Given an eligible user and valid starting state, when the ""Moderation console"" workflow is exercised, ChessLab shall queue reports, preserve evidence, document actions and enforce least privilege; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S31
FR-154,Functional,"Trust, Safety & Fair Play",Fair-play case handling,"Separate automated signals, human review, appeals and rating restoration.",P1,Operations,"Given an eligible user and valid starting state, when the ""Fair-play case handling"" workflow is exercised, ChessLab shall separate automated signals, human review, appeals and rating restoration; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S31
FR-155,Functional,"Trust, Safety & Fair Play",Prompt-injection boundary,"Treat imported PGN, comments, chat and community content as untrusted data.",P0,Security,"Given an eligible user and valid starting state, when the ""Prompt-injection boundary"" workflow is exercised, ChessLab shall treat imported PGN, comments, chat and community content as untrusted data; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S37
FR-156,Functional,"Trust, Safety & Fair Play",Anti-harassment controls,"Rate-limit invitations and messages, detect spam patterns and allow quiet defaults.",P1,Trust,"Given an eligible user and valid starting state, when the ""Anti-harassment controls"" workflow is exercised, ChessLab shall rate-limit invitations and messages, detect spam patterns and allow quiet defaults; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S32
FR-157,Functional,"Trust, Safety & Fair Play",Audit trail,"Record sensitive admin, entitlement, moderation and analysis-policy decisions.",P0,Security,"Given an eligible user and valid starting state, when the ""Audit trail"" workflow is exercised, ChessLab shall record sensitive admin, entitlement, moderation and analysis-policy decisions; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.",S31
FR-158,Functional,"Membership, Commerce & Entitlements",Free core access,Keep unlimited basic human chess while limiting selected analysis and learning extras.,P0,Commerce,"Given an eligible user and valid starting state, when the ""Free core access"" workflow is exercised, ChessLab shall keep unlimited basic human chess while limiting selected analysis and learning extras; verify that payment and entitlement transitions are idempotent, ledgered and recoverable after duplicate or delayed provider events.",S33
